practice_code,list_size,imd_score,imd_decile,pct_over_65,pct_under_5,pct_5_19
A81001,3890,32.3609392614188,8,11.298200514138818,2.352185089974293,8.997429305912597
A81002,18738,31.9219576370791,8,11.570071512434625,2.2120823994022842,8.13587362578717
A81004,11343,28.0240260610573,7,10.15604337476858,2.737371065855594,8.503041523406507
A81005,7651,15.398206930816,3,15.886812181414195,1.666448830218272,7.652594432100379
A81006,14651,35.6123870901918,9,10.118763224353286,2.3035970240939183,9.221213569039657
A81007,10614,34.4445323985979,9,9.511023176936122,2.3883550028264557,9.091765592613529
A81009,8068,35.8658491784038,9,9.32077342588002,2.1256817055032227,8.973723351512147
A81011,11892,36.3089020068855,9,11.331146989572822,2.1989572822065253,8.350151362260343
A81012,5686,52.6470209196763,10,6.6303200844178685,2.629264861062258,10.754484699261344
A81013,7671,29.722752783285,8,10.839525485595098,2.353017859470734,8.740711771607353
A81014,4154,23.2413015956055,6,13.505055368319692,2.3230621088107846,7.414540202214733
A81016,12299,44.489167042668,10,6.183429547117652,2.943328725912676,9.9601593625498
A81017,18360,18.9506285295963,5,8.883442265795207,2.0697167755991286,9.904684095860567
A81018,10221,31.6521769322472,8,11.221993934057332,1.9665394775462284,9.084238332844144
A81019,8906,51.0359636499307,10,8.522344486862789,2.5993712104199416,10.622052548843476
A81020,7897,32.590788101771,9,10.643282259085728,2.5389388375332405,9.509940483727998
A81021,22863,36.747031515241,9,10.355158990508682,2.6505707912347463,9.112977299566985
A81022,9384,28.1046550919171,7,12.27621483375959,2.024722932651321,8.232097186700766
A81023,8588,46.7262571575961,10,5.6590591523055425,2.5442477876106193,8.24406148113647
A81025,4090,34.5468043424624,9,10.317848410757946,2.5061124694376526,8.789731051344743
A81026,20977,43.0419056167061,10,7.603565810173047,3.039042761119321,10.275539877008152
A81027,14422,8.49827651464491,1,12.14464013312994,1.9518790736374982,8.480099847455277
A81029,7068,48.7180673703819,10,5.998868138087153,2.985285795132994,7.859366157328806
A81030,16794,29.2136742505545,8,9.589734428962725,2.7093009408121946,9.01512444920805
A81031,13661,37.3702897101336,9,9.563721543078838,2.587658297342801,9.175755801185858
A81032,11614,18.8740962404633,5,13.393318408816945,2.075081797830205,7.5641467194764935
A81034,20898,21.2040133726201,5,8.347688774045363,2.1341755191884393,10.367020767537563
A81035,9727,45.5057360544218,10,8.831088722113703,2.225763339159042,9.40680579829341
A81036,16330,28.1489688280718,7,10.872627066748317,2.2443355786895283,8.919167176974893
A81037,6545,47.2018875419892,10,6.776165011459129,1.8487394957983194,8.258212375859435
A81038,3789,48.8496833423472,10,6.400105568751649,3.180258643441541,11.929268936394827
A81039,12834,9.81094919912804,1,10.670874240299206,2.4037712326632383,9.342371824840267
